product_id,total_traditional_price,total_original_price,total_lin_price,total_dt_price,total_rf_price,total_svr_price
bed1,478.34000000000003,337.80000000000007,358.36885544357517,337.77258363053045,332.647209069013,338.66271152456625
bed2,170.82,179.8,185.85199791877932,183.14777123563633,181.55537953908788,180.11715908563963
bed3,822.2199999999999,1235.36,1222.4963648862915,1282.0343986494543,1292.4505233432924,1255.5859885165987
bed5,645.3,2090.0,2084.691687194164,2313.196,2087.8890194253827,2117.828078805582
computers1,1699.22,1384.6000000000001,1407.4912880966087,1323.0833679003147,1385.499481129546,1425.1753391993084
computers2,1481.4,1318.8000000000002,1261.0239418469591,1222.0335351663994,1274.879131886378,1317.283705534835
computers3,2470.58,2476.2000000000003,2392.946954613348,2600.03003203125,2560.546371328249,2484.6019222861164
computers6,7463.04,10343.1,9684.078001966789,9966.781789453124,10191.069789104804,10243.07253026733
consoles1,651.56,686.0,558.2382607162426,696.6011024976744,666.0774581805632,598.2178229670291
cool1,569.94,599.9299999699999,610.6732446728313,641.0171993247271,628.865971955002,600.1017027542376
cool2,3621.5399999999995,4319.66,4293.396133784293,4200.637926449044,4187.880750479546,4224.094185004444
cool5,1614.83,1699.83,1753.7782381606858,1731.2141748190656,1690.2933961238305,1705.2505939769646
furniture1,1346.75,960.0,935.1947102618711,934.4186879318185,915.3412115669723,956.4490785901352
furniture2,180.32,179.8,142.83156866653877,143.464683745,143.25006656396184,140.3877162026773
furniture4,1048.58,1298.7,1277.7299029298129,1323.8696630969325,1281.0105107162392,1288.0403495659198
garden1,914.3800000000001,1717.49,1898.8152095771688,1867.0202481452388,1894.5638862637702,1891.0149457807127
garden2,1193.1,1255.8,1276.129284645064,1243.067214923056,1250.0702082709383,1260.0266617923055
garden3,468.6,899.9799998000001,916.8317205712033,889.2214193215186,908.6913604894166,912.3730354415658
garden4,3707.12,3893.29022578,3755.226081347425,3822.5174331188914,3838.022614699405,3871.436617602883
garden5,814.65,1336.89999999,1331.2997708671123,1335.3944328533662,1293.7277239751013,1301.312812815444
garden6,3628.66,3829.84848512,3759.128274723386,3648.1854842564467,3664.813580444945,3839.9377506231467
garden7,917.15,980.9777778,940.1882553024878,905.3330762650005,914.9234900128931,931.9337153233433
garden8,1651.33,5942.8299998,5665.654204496985,5639.226406098374,5705.288186428569,5814.557528478617
garden9,1081.29,1138.1,1156.44818954474,1128.5914383720005,1135.6529587615912,1138.8757960197631
health7,1531.6499999999999,2059.66,2072.178939455872,2019.5846791920007,2033.8224981463454,2059.702743412986
health8,1222.5,2739.50999999,2658.987574056582,2766.2188384474084,2762.255298453089,2695.7512788569747
health9,786.03,419.78999999999996,500.83102640590243,522.4508268732558,499.5580936354224,441.4526592845916
perfumery1,541.4,569.9,555.1235217378565,593.9954938800003,586.1674019982281,569.7113214434615
perfumery2,1537.28,2272.4133339,2265.972239933833,2289.4342286912497,2296.41449385117,2298.8131460198015
watches1,6698.49,7724.059999800001,7857.460586961882,7639.075037692171,7727.20776301995,7939.43051746087
watches2,1320.48,1188.0,1185.4857996330886,1155.568903125,1173.2393007609578,1184.582848048752
watches5,3799.2400000000002,5898.4909092,5593.251749344457,5633.0740816,5519.59375786099,5795.875040934713
watches8,349.02,479.8,468.3376424123584,462.6392,466.7270021301029,474.87092304670807
